uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release
e6d67fa4-1c1a-4da5-9405-b51228f03bd7,D01,HARV,HARV_021,HARV_021.basePlot.bgc,2022-04-17T15:01:00Z,2022-04-17T15:01:00Z,2022-05-06,HARV_021-O-39-20220417,A00000153008,HARV_021-O-39-20220417-PH,NEON.DOC.014048vO,O,3.42,2.85,2.5,20,8,2.5,40,16,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
6e128a6d-58ae-4d4f-a335-109f97864ace,D01,HARV,HARV_021,HARV_021.basePlot.bgc,2022-04-17T15:30:00Z,2022-04-17T15:30:00Z,2022-05-06,HARV_021-O-41-20220417,A00000153009,HARV_021-O-41-20220417-PH,NEON.DOC.014048vO,O,3.6,3.05,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
73a0b59e-9df6-44cb-8b51-051e3e246afc,D01,HARV,HARV_021,HARV_021.basePlot.bgc,2022-04-17T15:50:00Z,2022-04-17T15:50:00Z,2022-05-06,HARV_021-O-23-20220417,A00000153010,HARV_021-O-23-20220417-PH,NEON.DOC.014048vO,O,3.56,2.96,2.5,20,8.1,2.5,40,16.1,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
0c0e0f61-f753-4c2a-bca4-a408ca388d63,D01,HARV,HARV_001,HARV_001.basePlot.bgc,2022-04-17T17:34:00Z,2022-04-17T17:34:00Z,2022-05-06,HARV_001-O-41-20220417,A00000153382,HARV_001-O-41-20220417-PH,NEON.DOC.014048vO,O,4.91,4.06,2.5,20,8.1,2.5,40,16.3,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
b7cd2684-fd07-4126-90b8-507c5e8aed60,D01,HARV,HARV_001,HARV_001.basePlot.bgc,2022-04-17T18:00:00Z,2022-04-17T18:00:00Z,2022-05-06,HARV_001-O-23-20220417,A00000152991,HARV_001-O-23-20220417-PH,NEON.DOC.014048vO,O,4.51,3.77,2.5,20,7.9,2.5,40,15.8,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
c40407d2-61e4-463c-9fa6-93b44475be30,D01,HARV,HARV_001,HARV_001.basePlot.bgc,2022-04-17T18:37:00Z,2022-04-17T18:37:00Z,2022-05-06,HARV_001-O-21-20220417,A00000153053,HARV_001-O-21-20220417-PH,NEON.DOC.014048vO,O,3.67,3.19,2.3,20,8.9,2.3,40,17.8,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
dca5d32b-d646-4e3b-bbcd-a98c5509ea2c,D01,HARV,HARV_002,HARV_002.basePlot.bgc,2022-04-18T15:39:00Z,2022-04-18T15:39:00Z,2022-05-06,HARV_002-O-21-20220418,A00000153054,HARV_002-O-21-20220418-PH,NEON.DOC.014048vO,O,3.87,3.4,2.5,20,7.9,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
f6aaae04-05f8-4183-931c-c959caedb5c6,D01,HARV,HARV_002,HARV_002.basePlot.bgc,2022-04-18T16:26:00Z,2022-04-18T16:26:00Z,2022-05-06,HARV_002-O-23-20220418,A00000153055,HARV_002-O-23-20220418-PH,NEON.DOC.014048vO,O,4.31,3.73,2.4,20,8.3,2.4,40,16.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
d2de6bbe-5517-410f-8643-eb2b313a5d8d,D01,HARV,HARV_002,HARV_002.basePlot.bgc,2022-04-18T16:53:00Z,2022-04-18T16:53:00Z,2022-05-06,HARV_002-O-39-20220418,A00000153069,HARV_002-O-39-20220418-PH,NEON.DOC.014048vO,O,4.28,3.65,2.4,20,8.2,2.4,40,16.5,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
508931b5-e369-4664-bb31-a1e32c928e97,D01,HARV,HARV_005,HARV_005.basePlot.bgc,2022-04-18T19:21:00Z,2022-04-18T19:21:00Z,2022-05-06,HARV_005-O-39-20220418,A00000153024,HARV_005-O-39-20220418-PH,NEON.DOC.014048vO,O,4.35,3.81,2.4,20,8.3,2.4,40,16.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
90335f92-fb09-41cc-b9c1-efe7fc79a157,D01,HARV,HARV_005,HARV_005.basePlot.bgc,2022-04-18T19:30:00Z,2022-04-18T19:30:00Z,2022-05-06,HARV_005-O-21-20220418,A00000153023,HARV_005-O-21-20220418-PH,NEON.DOC.014048vO,O,4.05,3.61,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
01a885fb-a3f5-45ed-bc72-f9f35b28a917,D01,HARV,HARV_005,HARV_005.basePlot.bgc,2022-04-18T20:00:00Z,2022-04-18T20:00:00Z,2022-05-06,HARV_005-O-23-20220418,A00000153022,HARV_005-O-23-20220418-PH,NEON.DOC.014048vO,O,3.91,3.4,2,20,9.9,2,40,19.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
a4608eb8-a9d9-4f89-bb69-4cc677957c4e,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-07-05T13:22:00Z,2022-07-05T13:22:00Z,2022-08-08,HARV_035-O-41-20220705,A00000153424,HARV_035-O-41-20220705-PH,NEON.DOC.014048vO,O,3.59,2.97,2.5,20,8,2.5,40,16,NA,0000-0003-3463-8507,NA,20251217T193916Z,RELEASE-2026
39347ed9-852e-4c64-a460-2f05e33df27b,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-07-05T13:59:00Z,2022-07-05T13:59:00Z,2022-08-08,HARV_035-O-39-20220705,A00000153423,HARV_035-O-39-20220705-PH,NEON.DOC.014048vO,O,3.62,3.08,2.6,20,7.7,2.6,40,15.4,NA,0000-0003-3463-8507,NA,20251217T193916Z,RELEASE-2026
80cb0fce-5c0c-480f-8c82-64f5f5fdf006,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-07-05T14:23:00Z,2022-07-05T14:23:00Z,2022-08-08,HARV_035-O-23-20220705,A00000153422,HARV_035-O-23-20220705-PH,NEON.DOC.014048vO,O,3.72,3.09,2.5,20,8,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193916Z,RELEASE-2026
c39b1737-1d30-44f5-8ad7-68858dc6d9ef,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-07-05T15:15:00Z,2022-07-05T15:15:00Z,2022-08-08,HARV_033-O-39-20220705,A00000153385,HARV_033-O-39-20220705-PH,NEON.DOC.014048vO,O,3.68,3,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193916Z,RELEASE-2026
